donor_id,in_study,model_score,diff_efficiency
HPSI0114i-bezi_1,not_assessed,0.959917254,NA
HPSI0114i-bezi_3,succeeded,0.994178186,0.582697201
HPSI0114i-eipl_1,failed,0.005722711,0.01287835
HPSI0114i-eipl_3,not_assessed,0.007677837,NA
HPSI0114i-fikt_3,succeeded,0.965656771,0.402826855
HPSI0114i-iisa_1,not_assessed,0.974303824,NA
HPSI0114i-iisa_3,not_assessed,0.991854917,NA
HPSI0114i-joxm_1,not_assessed,0.767690914,NA
HPSI0114i-kolf_2,succeeded,0.918353472,0.470591332
HPSI0114i-kolf_3,not_assessed,0.90740004,NA
HPSI0114i-lexy_1,not_assessed,0.986455595,NA
HPSI0114i-lexy_2,succeeded,0.954325525,0.726905347
HPSI0114i-oevr_3,not_assessed,0.316386684,NA
HPSI0114i-rozh_4,succeeded,0.998645442,0.56146789
HPSI0114i-rozh_5,not_assessed,0.982371654,NA
HPSI0114i-vass_1,succeeded,0.997562532,0.852173913
HPSI0114i-veui_3,not_assessed,0.509114901,NA
HPSI0114i-zapk_2,succeeded,0.984046301,0.356764231
HPSI0114i-zapk_3,not_assessed,0.998600621,NA
HPSI0114i-zoxy_3,not_assessed,0.413567424,NA
HPSI0115i-aion_2,succeeded,0.97856352,0.711820535
HPSI0115i-aion_3,not_assessed,1.60E-05,NA
HPSI0115i-aoxv_1,succeeded,0.996085747,0.221252183
HPSI0115i-aoxv_3,not_assessed,0.99869399,NA
HPSI0115i-bimq_4,failed,0.076644959,0.087628866
HPSI0115i-bimq_5,not_assessed,0.958816293,NA
HPSI0115i-boqx_2,succeeded,0.999586035,0.406844106
HPSI0115i-gifk_1,succeeded,0.958296248,0.582901554
HPSI0115i-gost_2,succeeded,0.995861997,0.783263598
HPSI0115i-hecn_6,succeeded,0.968704002,0.342271192
HPSI0115i-iinu_3,not_assessed,0.742109785,NA
HPSI0115i-iinu_5,not_assessed,0.013575246,NA
HPSI0115i-iiyk_2,succeeded,0.980784162,0.606741573
HPSI0115i-iiyk_4,not_assessed,0.978177218,NA
HPSI0115i-iuad_2,succeeded,0.981402223,0.88845655
HPSI0115i-iuad_3,not_assessed,0.926306668,NA
HPSI0115i-jotn_2,succeeded,0.98870409,0.361664718
HPSI0115i-jotn_4,not_assessed,0.996081517,NA
HPSI0115i-kozf_1,failed,0.00670872,0.082170543
HPSI0115i-kozf_2,not_assessed,8.07E-05,NA
HPSI0115i-melw_1,succeeded,0.950141974,0.428571429
HPSI0115i-melw_2,not_assessed,0.874801597,NA
HPSI0115i-paim_1,succeeded,0.983903666,0.539401287
HPSI0115i-paim_3,not_assessed,0.992751506,NA
HPSI0115i-payf_1,not_assessed,0.936041514,NA
HPSI0115i-payf_2,not_assessed,0.99842925,NA
HPSI0115i-pitg_2,succeeded,0.978681586,0.625
HPSI0115i-qaqp_4,not_assessed,7.38E-06,NA
HPSI0115i-qaqp_5,not_assessed,0.910034276,NA
HPSI0115i-qecv_1,not_assessed,0.991990548,NA
HPSI0115i-qecv_2,succeeded,0.994517665,0.476686508
HPSI0115i-qoog_4,not_assessed,0.939056744,NA
HPSI0115i-qoog_6,not_assessed,0.993276751,NA
HPSI0115i-quze_4,not_assessed,0.99417381,NA
HPSI0115i-quze_6,succeeded,0.945029065,0.360759494
HPSI0115i-rakq_1,not_assessed,0.645226896,NA
HPSI0115i-rakq_3,not_assessed,0.805450069,NA
HPSI0115i-rakz_6,not_assessed,0.707230272,NA
HPSI0115i-rehy_2,not_assessed,0.986345088,NA
HPSI0115i-rehy_3,not_assessed,0.979586733,NA
HPSI0115i-sehp_2,succeeded,0.939051252,0.781919112
HPSI0115i-sehp_3,not_assessed,0.988271793,NA
HPSI0115i-tiku_1,not_assessed,0.979621949,NA
HPSI0115i-tiku_3,succeeded,0.987344146,0.507303552
HPSI0115i-timk_4,failed,0.069749258,0.042008978
HPSI0115i-uolo_5,not_assessed,0.011014132,NA
HPSI0115i-uupc_2,succeeded,0.991686407,0.666666667
HPSI0115i-vazt_1,not_assessed,0.943426462,NA
HPSI0115i-vazt_2,not_assessed,0.996586973,NA
HPSI0115i-womt_1,not_assessed,0.971026961,NA
HPSI0115i-xaka_1,not_assessed,0.91834717,NA
HPSI0115i-xaka_2,not_assessed,0.000440451,NA
HPSI0115i-zihe_1,failed,0.103698736,0.026455026
HPSI0213i-nawk_55,succeeded,0.976226304,0.697183099
HPSI0214i-datg_2,succeeded,0.99444769,0.442991632
HPSI0214i-eiwy_1,succeeded,0.963246145,0.601204819
HPSI0214i-feec_2,failed,0.000198094,0.042671863
HPSI0214i-feec_3,not_assessed,0.908795475,NA
HPSI0214i-giju_2,not_assessed,0.968020373,NA
HPSI0214i-giju_3,succeeded,0.981586305,0.80407701
HPSI0214i-heja_1,not_assessed,0.961082819,NA
HPSI0214i-heja_2,not_assessed,0.996814767,NA
HPSI0214i-heth_1,failed,0.057221888,0.033268276
HPSI0214i-kehc_2,not_assessed,0.867825759,NA
HPSI0214i-kucg_2,failed,0.11421428,0.08373436
HPSI0214i-pelm_1,not_assessed,0.836140773,NA
HPSI0214i-pelm_3,succeeded,0.960937812,0.593982528
HPSI0214i-poih_2,succeeded,0.969165919,0.660213244
HPSI0214i-poih_4,not_assessed,0.984887267,NA
HPSI0214i-rayr_1,succeeded,0.964441351,0.711790393
HPSI0214i-wibj_1,not_assessed,0.44010271,NA
HPSI0214i-wibj_2,not_assessed,0.749141925,NA
HPSI0215i-deyz_2,succeeded,0.980743396,0.616639051
HPSI0215i-deyz_3,not_assessed,0.771898217,NA
HPSI0215i-fawm_2,succeeded,0.997157779,0.808106396
HPSI0215i-fawm_4,not_assessed,0.862415776,NA
HPSI0215i-hipn_1,succeeded,0.985713415,0.36828918
HPSI0215i-hipn_2,not_assessed,0.910242778,NA
HPSI0215i-oilg_1,failed,3.78E-06,0.066198596
HPSI0215i-oilg_3,not_assessed,0.000122675,NA
HPSI0215i-romx_1,failed,0.088454456,0.082214765
HPSI0215i-romx_2,not_assessed,0.336952974,NA
HPSI0215i-uiao_1,not_assessed,0.993274621,NA
HPSI0215i-uiao_2,succeeded,0.988368546,0.314568673
HPSI0215i-yoch_6,failed,0.001194956,0.02979066
HPSI0215i-zett_5,succeeded,0.986440914,0.851707438
HPSI0216i-aiid_1,not_assessed,0.784826378,NA
HPSI0216i-aiid_6,not_assessed,0.000243873,NA
HPSI0216i-boho_3,not_assessed,0.968846726,NA
HPSI0216i-dacv_6,not_assessed,0.076533382,NA
HPSI0216i-dewh_4,not_assessed,0.222706438,NA
HPSI0216i-dewh_6,not_assessed,0.987884518,NA
HPSI0216i-feht_1,not_assessed,0.981986284,NA
HPSI0216i-heub_6,not_assessed,0.930273625,NA
HPSI0216i-iogu_5,not_assessed,0.958793943,NA
HPSI0216i-puxp_1,not_assessed,0.906133183,NA
HPSI0216i-rihx_4,not_assessed,0.403504188,NA
HPSI0216i-tony_5,not_assessed,0.68369983,NA
HPSI0216i-vieg_3,not_assessed,0.144350531,NA
HPSI0216i-vieg_5,not_assessed,1.42E-05,NA
HPSI0216i-xanu_5,not_assessed,0.897794173,NA
HPSI0216i-xanu_6,not_assessed,0.053002459,NA
HPSI0313i-airc_66,not_assessed,0.965327418,NA
HPSI0313i-cesj_1,not_assessed,0.032422447,NA
HPSI0314i-bipt_1,not_assessed,0.973581377,NA
HPSI0314i-bubh_1,not_assessed,0.944623965,NA
HPSI0314i-bubh_3,failed,0.000985965,0.061016949
HPSI0314i-cuhk_1,not_assessed,0.614468432,NA
HPSI0314i-cuhk_2,failed,0.077700674,0.157566638
HPSI0314i-fafq_1,not_assessed,0.194321975,NA
HPSI0314i-kujn_2,not_assessed,0.993681415,NA
HPSI0314i-kujn_5,not_assessed,0.941997234,NA
HPSI0314i-qaqx_1,succeeded,0.980075898,0.611244019
HPSI0314i-qonc_1,not_assessed,0.989206417,NA
HPSI0314i-qonc_2,not_assessed,0.96830485,NA
HPSI0314i-sojd_2,not_assessed,0.23692729,NA
HPSI0314i-sojd_3,failed,3.08E-05,0.07382076
HPSI0314i-uict_1,succeeded,0.994468864,0.50955414
HPSI0314i-uict_3,not_assessed,0.95956053,NA
HPSI0314i-wigw_2,succeeded,0.97738769,0.574324324
HPSI0314i-xagu_1,succeeded,0.968983009,0.351851852
HPSI0314i-xugn_1,not_assessed,0.685844698,NA
HPSI0314i-xugn_2,failed,0.049858457,0.044055202
HPSI0316i-aask_4,not_assessed,0.008593721,NA
HPSI0316i-beqm_12,not_assessed,0.957119173,NA
HPSI0316i-beqm_9,not_assessed,0.954582277,NA
HPSI0316i-circ_2,not_assessed,0.870538495,NA
HPSI0316i-circ_4,not_assessed,0.941156586,NA
HPSI0316i-eoko_3,not_assessed,0.00028757,NA
HPSI0316i-eoko_5,not_assessed,9.40E-06,NA
HPSI0316i-ierp_4,not_assessed,0.947741227,NA
HPSI0316i-miov_1,not_assessed,0.933711423,NA
HPSI0316i-muwv_3,not_assessed,0.882857451,NA
HPSI0316i-muwv_6,not_assessed,1.33E-06,NA
HPSI0316i-pecz_2,not_assessed,0.996498338,NA
HPSI0316i-ponl_2,not_assessed,0.541488031,NA
HPSI0316i-ponl_4,not_assessed,0.956665871,NA
HPSI0316i-qeti_1,not_assessed,0.05177223,NA
HPSI0316i-qeti_2,not_assessed,0.310250241,NA
HPSI0316i-tezs_6,not_assessed,0.773473475,NA
HPSI0316i-vats_2,not_assessed,0.440645637,NA
HPSI0316i-vats_4,not_assessed,0.000132833,NA
HPSI0316i-xaqm_4,not_assessed,0.975669998,NA
HPSI0316i-xaqm_6,not_assessed,0.985661993,NA
HPSI0316i-zuik_6,not_assessed,0.998971907,NA
HPSI0413i-corn_1,succeeded,0.994399338,0.836363636
HPSI0413i-coxy_3,not_assessed,0.921884867,NA
HPSI0413i-coxy_33,succeeded,0.992884553,0.645687646
HPSI0413i-gomv_3,not_assessed,0.094668118,NA
HPSI0413i-iakz_1,not_assessed,0.964279453,NA
HPSI0413i-iakz_2,not_assessed,0.873148415,NA
HPSI0413i-nudd_1,succeeded,0.996735173,0.573926868
HPSI0413i-nudd_6,not_assessed,0.997120993,NA
HPSI0413i-ougl_1,not_assessed,0.512233056,NA
HPSI0413i-ougl_3,not_assessed,0.220683952,NA
HPSI0413i-peop_2,not_assessed,0.136678842,NA
HPSI0413i-peop_4,succeeded,0.997863993,0.607377049
HPSI0413i-sukz_1,not_assessed,0.91187077,NA
HPSI0413i-uahf_3,not_assessed,0.903011174,NA
HPSI0413i-xekf_1,not_assessed,0.99634875,NA
HPSI0413i-yotv_2,succeeded,0.954052646,0.70212766
HPSI0413i-yotv_3,not_assessed,0.818298603,NA
HPSI0413i-yuze_1,not_assessed,0.99989359,NA
HPSI0414i-biiw_1,not_assessed,0.029441433,NA
HPSI0414i-ceik_1,failed,0.021631043,0.112612613
HPSI0414i-ceik_2,not_assessed,0.00011571,NA
HPSI0414i-cekz_1,not_assessed,0.994577236,NA
HPSI0414i-eafb_1,not_assessed,0.889995696,NA
HPSI0414i-eevy_6,not_assessed,0.000846429,NA
HPSI0414i-eevy_7,not_assessed,0.943003741,NA
HPSI0414i-fixm_2,not_assessed,0.699984771,NA
HPSI0414i-fuai_1,not_assessed,0.872017884,NA
HPSI0414i-gesg_2,failed,0.053036221,0.060728745
HPSI0414i-hutq_1,not_assessed,0.989835497,NA
HPSI0414i-kefk_2,not_assessed,0.001296929,NA
HPSI0414i-kodf_2,not_assessed,0.978837878,NA
HPSI0414i-lavd_2,not_assessed,0.769285716,NA
HPSI0414i-mita_2,not_assessed,0.062498704,NA
HPSI0414i-naju_1,not_assessed,0.829503735,NA
HPSI0414i-niim_3,not_assessed,0.964577476,NA
HPSI0414i-niim_5,not_assessed,0.285009597,NA
HPSI0414i-nolz_4,not_assessed,0.740497694,NA
HPSI0414i-oaqd_2,failed,0.03602931,0.023460411
HPSI0414i-oaqd_3,not_assessed,0.951063112,NA
HPSI0414i-oikd_2,not_assessed,0.17408308,NA
HPSI0414i-oikd_5,not_assessed,0.181948533,NA
HPSI0414i-oulr_4,not_assessed,0.95224416,NA
HPSI0414i-puvg_1,not_assessed,0.968301768,NA
HPSI0414i-rauj_1,not_assessed,0.174022304,NA
HPSI0414i-reng_4,not_assessed,0.986954389,NA
HPSI0414i-sebn_3,succeeded,0.965431252,0.405240175
HPSI0414i-sebn_4,not_assessed,0.96591655,NA
