donor,ncells,diff_efficiency
aowh_2,95,0.806572832175935
aoxv_3,71,0.810167377152565
bezi_1,3,0.642177761832542
bima_1,31,0.647205593655544
bokz_5,114,0.629954346601513
cicb_2,26,0.815907608559265
ciwj_2,39,0.736883414554723
cuhk_2,27,0.778887740247138
datg_2,115,0.539942979897939
dixh_2,84,0.746283773299236
eesb_1,195,0.804570608811849
eipl_1,57,0.81272157504678
eiwy_1,25,0.738552593350162
eoxi_6,8,0.802869116131309
fafq_1,100,0.787794514418579
fawm_2,172,0.752667949509646
feec_2,106,0.721451138381197
fejf_2,28,0.780944640459747
fiaj_3,37,0.707689190572274
garx_2,80,0.79695199149044
giju_2,314,0.650829855060672
guss_1,279,0.683169584058163
guyj_2,111,0.622079547695535
hajc_1,25,0.781812532452631
hayt_1,204,0.817275612245416
hecn_3,152,0.786713985724749
hegp_3,16,0.78543439221416
heth_1,3,0.8362517660306
hoik_1,94,0.797540342445723
iisa_3,9,0.797085840399592
iiyk_4,15,0.757944446246089
iudw_4,12,0.671187713164768
jejf_2,50,0.684032829999239
joxm_1,175,0.803492000425013
juuy_2,275,0.745439279882468
kajh_3,57,0.758583427072386
kefb_1,14,0.688911118921956
keui_1,38,0.794181251619072
koqx_1,16,0.73080421702161
kucg_2,2,0.781395807038641
kuco_1,106,0.780050800565779
kuxp_1,63,0.794703425050473
laey_4,24,0.743124712197129
lepk_1,7,0.76193532144459
letw_1,115,0.784904289915204
liqa_1,105,0.760792699165007
lise_3,77,0.795377532474618
melw_2,80,0.823975670635351
meue_4,106,0.802397125157351
miaj_6,14,0.807871710768322
mita_2,37,0.69585416501511
naah_2,130,0.829856086176309
naju_1,63,0.771309422646043
nocf_2,175,0.777949354255226
nosn_6,53,0.703487002465223
nudd_1,207,0.696691004062221
nufh_3,58,0.766495324802307
oebj_1,17,0.723333269046355
oibg_1,140,0.624704082222005
oicx_6,48,0.753814231347157
oilg_3,12,0.702719205871649
oojs_1,8,0.761668740904916
paab_4,55,0.740608061407057
pahc_4,109,0.835171976930069
pelm_3,158,0.594162048378452
pipw_5,103,0.779716780425196
poih_4,193,0.802754736483443
puie_5,293,0.797655112547328
pulk_1,88,0.648452813706683
qaqx_1,104,0.760668083675025
qayj_3,21,0.712125752662391
qehq_3,134,0.771621218055296
qihv_1,66,0.728557757378601
qoog_4,32,0.762428688920618
qorq_2,125,0.738755370721716
quls_2,7,0.784902519043346
qunz_3,61,0.822407084007561
rayr_1,27,0.781970885207569
rutc_2,67,0.748094021625788
sebz_1,15,0.795719263974369
sehl_6,237,0.658141205500697
seru_1,23,0.719461484782653
sohd_3,26,0.79306041822015
sojd_3,73,0.786820568170978
suop_5,3,0.795246686676394
tert_1,100,0.774056058828954
toco_5,30,0.756090142124292
tolg_6,28,0.800036179153368
tout_1,42,0.677932264870015
ueah_1,38,0.78801554562092
uilk_3,22,0.726901838546263
vass_1,72,0.791424528903271
vazt_1,34,0.773330810164864
veku_2,10,0.753382050139895
vils_1,55,0.813669362640456
vuna_3,146,0.667237821552099
wahn_1,107,0.76125745048822
wibj_2,11,0.739578292741677
wigw_2,171,0.769923905110067
wopl_1,27,0.791522398724721
wuye_2,51,0.733366152620601
xojn_3,167,0.796523169355487
yelp_3,165,0.804816523844719
yemz_1,11,0.79814267145818
yoch_6,38,0.73064077859611
zagm_1,81,0.804753534777203
zapk_3,128,0.641165840380823
zihe_1,12,0.711669550163459
