path_to_files,sample_id,pool_id,time_point,treatment,bioRep,techRep,tenXRep
run25646/pool2-BIO1-TEC1-TEN1-D30/5245STDY7423246/cellranger-hg19/outs/,5245STDY7423246,pool2,D30,no,1,1,1
run25790/pool3-BIO1-TEC2-TEN1-D52/5245STDY7458666/cellranger-hg19/outs/,5245STDY7458666,pool3,D52,no,1,2,1
run27286/pool9-BIO1-TEC1-TEN2-D11/5245STDY7697814/cellranger-hg19/outs/,5245STDY7697814,pool9,D11,no,1,1,2
run26559/pool6-BIO1-TEC1-TEN1-D11/5245STDY7602376/cellranger-hg19/outs/,5245STDY7602376,pool6,D11,no,1,1,1
run27007/pool6-BIO2-TEC2-TEN2-D30/5245STDY7654675/cellranger-hg19/outs/,5245STDY7654675,pool6,D30,no,2,2,2
run26791/pool6-BIO2-TEC1-TEN1-D11/5245STDY7632691/cellranger-hg19/outs/,5245STDY7632691,pool6,D11,no,2,1,1
run26455/pool5-BIO1-TEC1-TEN1-D11/5245STDY7577237/cellranger-hg19/outs/,5245STDY7577237,pool5,D11,no,1,1,1
run25923/pool4-BIO1-TEC2-TEN1-D11/5245STDY7487302/cellranger-hg19/outs/,5245STDY7487302,pool4,D11,no,1,2,1
run27192/pool7-BIO1-TEC2-TEN1-D30/5245STDY7640195/cellranger-hg19/outs/,5245STDY7640195,pool7,D30,no,1,2,1
run26791/pool6-BIO2-TEC1-TEN2-D11/5245STDY7632692/cellranger-hg19/outs/,5245STDY7632692,pool6,D11,no,2,1,2
run25923/pool4-BIO1-TEC1-TEN1-D11/5245STDY7487301/cellranger-hg19/outs/,5245STDY7487301,pool4,D11,no,1,1,1
run26455/pool5-BIO1-TEC1-TEN2-D11/5245STDY7577238/cellranger-hg19/outs/,5245STDY7577238,pool5,D11,no,1,1,2
run27192/pool7-BIO1-TEC2-TEN2-D30/5245STDY7640196/cellranger-hg19/outs/,5245STDY7640196,pool7,D30,no,1,2,2
run26851/pool8-BIO1-TEC2-TEN1-D11/5245STDY7632697/cellranger-hg19/outs/,5245STDY7632697,pool8,D11,no,1,2,1
run26455/pool5-BIO1-TEC2-TEN2-D11/5245STDY7577240/cellranger-hg19/outs/,5245STDY7577240,pool5,D11,no,1,2,2
run26558/pool6-BIO1-TEC2-TEN1-D11/5245STDY7602378/cellranger-hg19/outs/,5245STDY7602378,pool6,D11,no,1,2,1
run26873/pool8-BIO1-TEC1-TEN2-D11/5245STDY7632696/cellranger-hg19/outs/,5245STDY7632696,pool8,D11,no,1,1,2
run25801/pool2-BIO1-TEC2-TEN1-D52/5245STDY7458662/cellranger-hg19/outs/,5245STDY7458662,pool2,D52,no,1,2,1
run27172/pool8-BIO1-TEC1-TEN1-D52/5245STDY7685559/cellranger-hg19/outs/,5245STDY7685559,pool8,D52,no,1,1,1
run27008/pool6-BIO2-TEC1-TEN1-D30/5245STDY7654672/cellranger-hg19/outs/,5245STDY7654672,pool6,D30,no,2,1,1
run27007/pool8-BIO1-TEC2-TEN1-D30/5245STDY7654678/cellranger-hg19/outs/,5245STDY7654678,pool8,D30,no,1,2,1
run26791/pool6-BIO2-TEC2-TEN1-D11/5245STDY7632693/cellranger-hg19/outs/,5245STDY7632693,pool6,D11,no,2,2,1
run27252/pool7-BIO1-TEC2-TEN1-D52/5245STDY7660071/cellranger-hg19/outs/,5245STDY7660071,pool7,D52,no,1,2,1
run27172/pool8-BIO1-TEC2-TEN1-D52/5245STDY7685561/cellranger-hg19/outs/,5245STDY7685561,pool8,D52,no,1,2,1
run25789/pool2-BIO1-TEC1-TEN1-D52/5245STDY7458661/cellranger-hg19/outs/,5245STDY7458661,pool2,D52,no,1,1,1
run27007/pool8-BIO1-TEC2-TEN2-D30/5245STDY7654679/cellranger-hg19/outs/,5245STDY7654679,pool8,D30,no,1,2,2
run26873/pool6-BIO2-TEC2-TEN2-D11/5245STDY7632694/cellranger-hg19/outs/,5245STDY7632694,pool6,D11,no,2,2,2
run27007/pool8-BIO1-TEC1-TEN1-D30/5245STDY7654676/cellranger-hg19/outs/,5245STDY7654676,pool8,D30,no,1,1,1
run26753/pool5-BIO1-TEC2-TEN1-D52/5245STDY7631341/cellranger-hg19/outs/,5245STDY7631341,pool5,D52,no,1,2,1
run26558/pool6-BIO1-TEC2-TEN2-D11/5245STDY7602379/cellranger-hg19/outs/,5245STDY7602379,pool6,D11,no,1,2,2
run27252/pool7-BIO1-TEC1-TEN1-D52/5245STDY7660069/cellranger-hg19/outs/,5245STDY7660069,pool7,D52,no,1,1,1
