GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	GeneSyms	label
GO:0031640	6.23671109664908e-06	5.33081761006289	2.98642753271934	13	61	killing of cells of other organism	REG3G, ROMO1, CTSG, DEFA4, GAPDH, IFNG, LCE3A, DEFB132, HAMP, CCL13, SEMG1, CAMP, H2BC11	Failed_Observed_Del
GO:0061844	1.83663037138796e-05	4.73668763102725	3.28017450315075	13	67	antimicrobial humoral immune response mediated by antimicrobial peptide	REG3G, ROMO1, DEFA4, GAPDH, CXCL1, REG3A, PF4V1, CCL13, CXCL5, SEMG1, CAMP, H2BC11, CXCL14	Failed_Observed_Del
GO:1990868	6.90861035507457e-05	3.82619647355164	4.21037324285022	14	86	response to chemokine	CIB1, CXCR6, CCR4, FOXC1, CXCL1, CXCR1, MPL, PF4V1, CCL13, CXCL5, CX3CL1, THPO, CXCR4, ZC3H12A	Failed_Observed_Del
GO:0032652	0.00047050101807102	3.27421383647799	4.45516238487639	13	91	regulation of interleukin-1 production	EGR1, SERPINB1, PYDC1, GHSR, FFAR1, GSTP1, IFNG, IL17A, ORM2, ERRFI1, CX3CL1, TNF, ZC3H12A	Failed_Observed_Del
GO:0070098	0.00249524749315835	3.17143436802597	3.51294017819262	10	72	chemokine-mediated signaling pathway	CXCR6, CCR4, FOXC1, CXCL1, CXCR1, PF4V1, CCL13, CXCL5, CX3CL1, CXCR4	Failed_Observed_Del
GO:0007218	0.000396331440794619	3.16346738469556	4.94474066892874	14	101	neuropeptide signaling pathway	PCSK1N, UTS2R, NPPA, NPPB, NPY5R, GAL, RXFP3, PDYN, PMCH, PPY, LTB4R2, CYSLTR2, KISS1R, CARTPT	Failed_Observed_Del
GO:0046425	0.000395557216014314	2.88888888888889	6.11972855065439	16	125	regulation of receptor signaling pathway via JAK-STAT	CNTF, CSH1, GH2, IFNA5, IFNA6, IFNA8, IFNB1, IFNG, IFNW1, LIF, PTK6, TNF, SOCS1, TNFRSF18, CDK5R1, HGS	Failed_Observed_Del
GO:0006614	0.00227831065504667	2.83580553369256	4.65099369849733	12	95	SRP-dependent cotranslational protein targeting to membrane	RPL5, RPL7A, RPL17, RPL18, RPL21, RPS2, RPS6, RPS20, RPS21, RPS27, RPS27A, SRPRA	Failed_Observed_Del
GO:0045471	0.00220036003963193	2.59327028183071	5.87493940862821	14	120	response to ethanol	DRD4, MSTN, GSTP1, POLB, PTH, HAMP, RBP4, RGS2, RGS4, S100A8, STAR, TH, TUFM, TYMS	Failed_Observed_Del
GO:0072599	0.00380226003614294	2.52487701600349	5.5811924381968	13	114	establishment of protein localization to endoplasmic reticulum	SPCS1, RPL5, RPL7A, RPL17, RPL18, RPL21, RPS2, RPS6, RPS20, RPS21, RPS27, RPS27A, SRPRA	Failed_Observed_Del
