Pool	cell_line	intended_cell_line
pool1	HPSI0214i-eiwy_1	HPSI0214i-eiwy_1
pool1	HPSI0114i-eipl_1	HPSI0114i-eipl_1
pool1	HPSI0714i-iudw_1	HPSI0714i-iudw_1
pool1	HPSI0614i-liqa_1	HPSI0614i-liqa_1
pool1	HPSI0115i-paim_1	HPSI0115i-paim_1
pool1	HPSI1113i-podx_1	HPSI1113i-podx_1
pool1	HPSI0914i-suop_5	HPSI0914i-suop_5
pool10	HPSI0914i-yuvg_2	HPSI0914i-yuvg_2
pool10	HPSI0114i-bezi_3	HPSI0114i-bezi_3
pool10	HPSI0114i-lexy_2	HPSI0114i-lexy_2
pool10	HPSI0114i-posc_1	HPSI0114i-posc_1
pool10	HPSI0115i-jotn_2	HPSI0115i-jotn_2
pool10	HPSI0115i-kozf_1	HPSI0115i-kozf_1
pool10	HPSI0115i-timk_4	HPSI0115i-timk_4
pool10	HPSI0214i-kucg_2	HPSI0214i-kucg_2
pool10	HPSI0215pf-douz	HPSI0215i-douz_1
pool10	HPSI0215pf-nurh	HPSI0215i-nurh_2
pool10	HPSI0314i-wigw_2	HPSI0314i-wigw_2
pool10	HPSI0413i-corn_1	HPSI0413i-corn_1
pool10	HPSI0413i-nudd_1	HPSI0413i-nudd_1
pool10	HPSI0413i-peop_4	HPSI0413i-peop_4
pool10	HPSI0413i-yotv_2	HPSI0413i-yotv_2
pool10	HPSI0513i-debk_9	HPSI0513i-debk_9
pool10	HPSI0114i-kolf_2	HPSI0114i-kolf_2
pool11	HPSI0114i-kolf_2	HPSI0114i-kolf_2
pool11	HPSI0314i-qaqx_1	HPSI0314i-qaqx_1
pool11	HPSI0513i-dipe_1	HPSI0513i-dipe_1
pool11	HPSI0513i-dulv_1	HPSI0513i-dulv_1
pool11	HPSI0513i-fejf_2	HPSI0513i-fejf_2
pool11	HPSI0513i-giuf_1	HPSI0513i-giuf_1
pool11	HPSI0513i-momt_2	HPSI0513i-momt_2
pool11	HPSI0513i-oibg_1	HPSI0513i-oibg_1
pool11	HPSI0513i-pedc_1	HPSI0513i-pedc_1
