sample_id	pool_id	time_point	treatment	bioRep	techRep	tenXRep	runID	QC
5245STDY7423246	pool2	D30	no	1	1	1	run25646	PASS
5245STDY7458666	pool3	D52	no	1	2	1	run25790	PASS
5245STDY7697814	pool9	D11	no	1	1	2	run27286	PASS
5245STDY7602376	pool6	D11	no	1	1	1	run26559	PASS
5245STDY7654675	pool6	D30	no	2	2	2	run27007	PASS
5245STDY7632691	pool6	D11	no	2	1	1	run26791	PASS
5245STDY7577237	pool5	D11	no	1	1	1	run26455	PASS
5245STDY7487302	pool4	D11	no	1	2	1	run25923	PASS
5245STDY7640195	pool7	D30	no	1	2	1	run27192	PASS
5245STDY7632692	pool6	D11	no	2	1	2	run26791	PASS
5245STDY7487301	pool4	D11	no	1	1	1	run25923	PASS
5245STDY7577238	pool5	D11	no	1	1	2	run26455	PASS
5245STDY7640196	pool7	D30	no	1	2	2	run27192	PASS
5245STDY7632697	pool8	D11	no	1	2	1	run26851	PASS
5245STDY7577240	pool5	D11	no	1	2	2	run26455	PASS
5245STDY7602378	pool6	D11	no	1	2	1	run26558	PASS
5245STDY7632696	pool8	D11	no	1	1	2	run26873	PASS
5245STDY7458662	pool2	D52	no	1	2	1	run25801	PASS
5245STDY7685559	pool8	D52	no	1	1	1	run27172	PASS
5245STDY7654672	pool6	D30	no	2	1	1	run27008	PASS
5245STDY7654678	pool8	D30	no	1	2	1	run27007	PASS
5245STDY7632693	pool6	D11	no	2	2	1	run26791	PASS
5245STDY7660071	pool7	D52	no	1	2	1	run27252	PASS
5245STDY7685561	pool8	D52	no	1	2	1	run27172	PASS
5245STDY7458661	pool2	D52	no	1	1	1	run25789	PASS
5245STDY7654679	pool8	D30	no	1	2	2	run27007	PASS
5245STDY7632694	pool6	D11	no	2	2	2	run26873	PASS
5245STDY7654676	pool8	D30	no	1	1	1	run27007	PASS
5245STDY7631341	pool5	D52	no	1	2	1	run26753	PASS
5245STDY7602379	pool6	D11	no	1	2	2	run26558	PASS
5245STDY7660069	pool7	D52	no	1	1	1	run27252	PASS
5245STDY7697815	pool9	D11	no	1	2	1	run27286	PASS
5245STDY7631335	pool1	D52	no	2	1	1	run26754	PASS
5245STDY7458665	pool3	D52	no	1	1	1	run25790	PASS
5245STDY7577239	pool5	D11	no	1	2	1	run26455	PASS
5245STDY7352549	pool1	D11	no	1	1	1	run25419	PASS
5245STDY7660072	pool7	D52	no	1	2	2	run27252	PASS
5245STDY7631340	pool5	D52	no	1	1	2	run26753	PASS
5245STDY7717344	pool9	D30	no	1	1	1	run27369	PASS
5245STDY7602377	pool6	D11	no	1	1	2	run26558	PASS
5245STDY7654674	pool6	D30	no	2	2	1	run27007	PASS
5245STDY7426805	pool1	D52	no	1	2	1	run25802	PASS
5245STDY7685554	pool6	D52	no	2	2	2	run27615	PASS
5245STDY7685551	pool6	D52	no	2	1	1	run27173	PASS
5245STDY7520698	pool4	D30	no	1	1	2	run26018	PASS
5245STDY7632695	pool8	D11	no	1	1	1	run26873	PASS
5245STDY7387187	pool1	D30	no	1	1	1	run25528	PASS
5245STDY7632698	pool8	D11	no	1	2	2	run26851	PASS
5245STDY7520697	pool4	D30	no	1	1	1	run26018	PASS
5245STDY7544155	pool4	D52	no	1	1	2	run26204	PASS
5245STDY7654673	pool6	D30	no	2	1	2	run27008	PASS
5245STDY7631336	pool1	D52	no	2	2	1	run26754	PASS
5245STDY7697813	pool9	D11	no	1	1	1	run27286	PASS
5245STDY7386987	pool3	D11	no	1	1	1	run25528	PASS
5245STDY7520699	pool4	D30	no	1	2	1	run26018	PASS
5245STDY7685552	pool6	D52	no	2	1	2	run27173	PASS
5245STDY7352550	pool1	D11	no	1	2	1	run25419	PASS
5245STDY7544154	pool4	D52	no	1	1	1	run26204	PASS
5245STDY7685553	pool6	D52	no	2	2	1	run27173	PASS
5245STDY7654677	pool8	D30	no	1	1	2	run27007	FAIL
5245STDY7685562	pool8	D52	no	1	2	2	run27172	PASS
5245STDY7423247	pool2	D30	no	1	2	1	run25838	PASS
5245STDY7640193	pool7	D30	no	1	1	1	run27192	PASS
5245STDY7387188	pool1	D30	no	1	2	1	run25528	FAIL
5245STDY7640194	pool7	D30	no	1	1	2	run27192	PASS
