GOBPID	Pvalue	OddsRatio	ExpCount	Count	Size	Term	label
GO:0006614	7.7197528923523e-50	27.6935163086714	13.4890651285749	78	96	SRP-dependent cotranslational protein targeting to membrane	allDE
GO:0072599	5.15777620683015e-45	16.3941761363636	16.0182648401826	82	114	establishment of protein localization to endoplasmic reticulum	allDE
GO:0000184	4.77421077510189e-39	12.7565632458234	16.4397981254506	78	117	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	allDE
GO:0006413	2.37036339968751e-35	7.25677401762393	25.1514860209885	95	179	translational initiation	allDE
GO:0019083	1.33914386464989e-29	6.38069544364508	24.1679083553633	86	172	viral transcription	allDE
GO:0006612	4.23015352933962e-29	5.86728561616954	26.4160858767924	90	188	protein targeting to membrane	allDE
GO:0002181	2.67360971207344e-15	5.63883914221426	13.6295762236642	46	97	cytoplasmic translation	allDE
GO:0043525	2.60971050131095e-06	4.40805734058329	6.74453256428743	20	48	positive regulation of neuron apoptotic process	allDE
GO:0045665	4.95345063838277e-07	4.37794413327589	7.76026565157528	23	56	negative regulation of neuron differentiation	allDE
GO:0045669	3.8869107789323e-06	4.05072489901904	7.44708803973404	21	53	positive regulation of osteoblast differentiation	allDE
GO:0045685	1.1196426320527e-05	3.85560841983852	7.30657694464472	20	52	regulation of glial cell differentiation	allDE
GO:0002576	2.48358813003058e-08	3.70101999184007	12.7865096531283	34	91	platelet degranulation	allDE
GO:0010977	1.12837612273013e-06	3.67323734126773	9.79222034307804	26	70	negative regulation of neuron projection development	allDE
GO:0045471	4.30390936183655e-07	3.30437475803329	12.9270207482176	32	92	response to ethanol	allDE
GO:0098869	1.16740939834732e-05	3.29371868978805	9.69526556116318	24	69	cellular oxidant detoxification	allDE
GO:0060411	4.83079857752716e-05	3.2381563762262	8.57117680044861	21	61	cardiac septum morphogenesis	allDE
GO:0098754	2.70591826487076e-06	3.09425754060325	12.6459985580389	30	90	detoxification	allDE
GO:0003281	8.27634849208337e-05	3.08338141950375	8.85219899062725	21	63	ventricular septum development	allDE
GO:0060840	6.40935044392481e-05	2.95666040824186	9.97628775134183	23	71	artery development	allDE
GO:0050680	9.66935084787469e-05	2.85312390924956	10.2108559498956	23	73	negative regulation of epithelial cell proliferation	allDE
GO:0009952	0.000190982024737357	2.849574918941	9.31516129032258	21	67	anterior/posterior pattern specification	allDE
GO:0042773	1.97839708717197e-05	2.8370723552989	12.5054874629496	28	89	ATP synthesis coupled electron transport	allDE
GO:0072163	6.13882321220067e-05	2.80614122719386	11.2408876071457	25	80	mesonephric epithelium development	allDE
GO:0008584	6.96940680362198e-06	2.78955030999002	14.4726427942001	32	103	male gonad development	allDE
GO:0010951	2.41832514956463e-07	2.73494736842105	20.2335976928623	44	144	negative regulation of endopeptidase activity	allDE
GO:0008217	7.49811051312832e-06	2.72385822196397	15.1751982696467	33	108	regulation of blood pressure	allDE
GO:0032092	0.000340754197065449	2.70192307692308	9.67858287912793	21	69	positive regulation of protein binding	allDE
GO:0006959	0.000494173940425131	2.68598474358652	9.2522869523351	20	66	humoral immune response	allDE
GO:0021954	0.000204250900916678	2.67647667941968	10.6788432267884	23	76	central nervous system neuron development	allDE
GO:0070252	0.000119697902685377	2.66024810035699	11.6624208924137	25	83	actin-mediated cell contraction	allDE
GO:0097237	0.000119697902685377	2.66024810035699	11.6624208924137	25	83	cellular response to toxic substance	allDE
GO:0046661	5.79725895399547e-06	2.62400876532219	17.0018425058079	36	121	male sex differentiation	allDE
GO:0060993	0.000368071387983576	2.6080786995914	10.3978210366098	22	74	kidney morphogenesis	allDE
GO:0032355	2.98243928321368e-05	2.59058681432448	14.7536649843788	31	105	response to estradiol	allDE
GO:0006334	0.00018210292944999	2.57109118951224	11.9434430825923	25	85	nucleosome assembly	allDE
GO:0001501	0.000365601214058715	2.53748678926231	11.0550948353724	23	80	skeletal system development	allDE
GO:0052547	2.28829830533991e-06	2.52055122828041	20.3938214546339	42	147	regulation of peptidase activity	allDE
GO:0007229	0.000554076050243451	2.51101274484646	10.6788432267884	22	76	integrin-mediated signaling pathway	allDE
GO:0070482	7.17954009260138e-06	2.51089820359281	18.4896630310923	38	133	response to oxygen levels	allDE
GO:0045137	0.000256969180054624	2.4982570847151	12.1811220377237	25	87	development of primary sexual characteristics	allDE
GO:0044706	2.2261859934112e-06	2.49483004418906	21.0766642633982	43	150	multi-multicellular organism process	allDE
GO:0001890	1.86826191544991e-05	2.49055518779296	17.1423536008972	35	122	placenta development	allDE
GO:0016525	0.000466506228996281	2.48772132526579	11.2408876071457	23	80	negative regulation of angiogenesis	allDE
